# This file is generated on 26-Aug-2022 at 15:52:19 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 8.2522e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 7.3925e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 6.3795e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 5.9089e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 5.6962e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 5.2691e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 4.8246e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 4.4191e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.0193e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.6524e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.3334e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 3.0083e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.6784e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4049e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.0652e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 1.7366e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 1.4284e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 1.1413e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 9.1964e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 6.3604e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 3.4404e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.5392e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, -6.2924e-03
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, -2.5212e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, -4.1324e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, -4.8334e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 7.7192e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 6.9150e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 5.9674e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 5.5272e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 5.3283e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 4.9288e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 4.5130e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 4.1336e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 3.7597e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 3.4165e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 3.1181e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.8140e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 2.5054e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 2.2496e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.9318e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 1.6245e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 1.3361e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 1.0676e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 8.6024e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 5.9496e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 3.2181e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.0000e+01, 1.4398e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.5000e+01, -5.8860e-03
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.2000e+01, -2.3583e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.0000e+01, -3.8655e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.9000e+01, -4.5212e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-03, 7.3093e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.0000e-03, 6.5479e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.0000e-03, 5.6505e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e-03, 5.2338e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 5.0453e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 4.6671e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 4.2734e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 3.9142e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 3.5601e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 3.2351e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 2.9525e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.6646e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 2.3723e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 2.1301e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.8293e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 1.5382e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 1.2652e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 1.0109e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 8.1456e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 5.6337e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 3.0473e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.0000e+01, 1.3634e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.5000e+01, -5.5735e-03
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.2000e+01, -2.2331e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.0000e+01, -3.6602e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.9000e+01, -4.2811e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-03, 6.9988e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.0000e-03, 6.2697e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.0000e-03, 5.4105e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.0000e-03, 5.0114e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 4.8310e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 4.4688e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 4.0919e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 3.7479e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 3.4088e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.0977e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.8271e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.5514e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 2.2716e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 2.0396e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 1.7516e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 1.4729e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 1.2114e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 9.6797e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 7.7996e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 5.3944e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 2.9178e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.0000e+01, 1.3054e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.5000e+01, -5.3367e-03
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.2000e+01, -2.1383e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.0000e+01, -3.5048e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.9000e+01, -4.0993e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-03, 6.7713e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.0000e-03, 6.0659e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.0000e-03, 5.2347e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.0000e-03, 4.8486e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 4.6740e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 4.3236e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 3.9589e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 3.6261e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 3.2980e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 2.9970e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 2.7352e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.4685e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 2.1977e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.9734e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.6946e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 1.4250e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 1.1721e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 9.3651e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 7.5461e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 5.2190e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.8230e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.0000e+01, 1.2630e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.5000e+01, -5.1633e-03
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.2000e+01, -2.0688e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.0000e+01, -3.3908e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.9000e+01, -3.9660e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-03, 6.6158e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.0000e-03, 5.9267e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.0000e-03, 5.1144e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.0000e-03, 4.7372e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 4.5667e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 4.2243e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 3.8680e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 3.5428e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 3.2223e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 2.9282e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 2.6724e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.4118e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 2.1473e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.9280e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.6557e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 1.3923e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 1.1452e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 9.1501e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 7.3728e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 5.0992e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.7582e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.0000e+01, 1.2340e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.5000e+01, -5.0447e-03
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.2000e+01, -2.0212e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.0000e+01, -3.3130e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.9000e+01, -3.8750e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-03, 6.5252e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.0000e-03, 5.8455e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.0000e-03, 5.0444e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e-03, 4.6723e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 4.5041e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 4.1664e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 3.8150e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 3.4943e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 3.1782e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 2.8881e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 2.6358e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.3787e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 2.1178e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.9016e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.6330e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 1.3732e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 1.1295e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 9.0247e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 7.2718e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 5.0293e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 2.7204e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.0000e+01, 1.2171e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.5000e+01, -4.9756e-03
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.2000e+01, -1.9936e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.0000e+01, -3.2676e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.9000e+01, -3.8219e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-03, 6.4954e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.0000e-03, 5.8188e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.0000e-03, 5.0214e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.0000e-03, 4.6510e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-02, 4.4835e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.6000e-02, 4.1474e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.7000e-02, 3.7975e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.5000e-02, 3.4783e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.7000e-02, 3.1636e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.3000e-01, 2.8749e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.1000e-01, 2.6238e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.5000e-01, 2.3679e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 6.0000e-01, 2.1082e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.5000e-01, 1.8929e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.7000e+00, 1.6256e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+00, 1.3669e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.1000e+00, 1.1243e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.3000e+00, 8.9835e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.2000e+01, 7.2386e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.9000e+01, 5.0064e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+01, 2.7080e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.0000e+01, 1.2115e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.5000e+01, -4.9529e-03
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.2000e+01, -1.9845e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.0000e+01, -3.2527e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.9000e+01, -3.8044e-02
